px,vy,vy_avg,sigma,Height
5°,164.07189084192314,66.49406389875509,18.433827073589324,5 Rs
15°,197.87352342299874,70.50043301406653,12.786287105387178,5 Rs
25°,154.86691109848715,65.12545624265276,25.63036460360019,5 Rs
35°,235.69802499900146,86.97827181683618,32.72057462111335,5 Rs
45°,219.0391999435659,81.79305236591635,18.063190976071315,5 Rs
55°,178.69756504035763,65.1161048913047,15.499395738274735,5 Rs
65°,186.3440142135528,65.49690138858945,7.175311467914612,5 Rs
75°,206.94171548807313,69.39838267976054,12.96648388914167,5 Rs
85°,198.31396011893628,70.0347026815906,16.144023553296883,5 Rs
95°,181.31766488227618,66.66796169123842,9.299868320219408,5 Rs
105°,226.85632959657397,84.08212964505655,31.643832178554984,5 Rs
115°,208.75919835002762,72.4943048916238,8.84581234039403,5 Rs
125°,191.02660084964438,67.66700954021537,25.997680227496414,5 Rs
135°,240.98787926073103,74.25406252080275,4.682840154447568,5 Rs
145°,190.88865094349242,67.70584809951781,12.02854321627438,5 Rs
155°,191.30398152487265,66.33129569931613,9.355141638145234,5 Rs
165°,208.9255461952422,70.52618236382268,10.66060094791002,5 Rs
175°,174.88689943419263,68.33125028236226,13.810276748901275,5 Rs
185°,206.43716624392408,69.69372385707891,22.267844992271485,5 Rs
195°,238.62343936753143,77.87431565830923,8.407285377807241,5 Rs
205°,215.73365949393832,72.17225077383124,9.933895819752827,5 Rs
215°,194.6406694362837,67.866307762973,31.27914389011854,5 Rs
225°,172.03796941805857,63.680365468273244,9.978248571271301,5 Rs
235°,184.91765200277393,67.52368744859452,6.73803416384295,5 Rs
245°,185.13834713051997,65.55502258024389,7.260601127697463,5 Rs
255°,222.5060603193974,74.28149364313573,16.12811540070164,5 Rs
265°,211.44723090916358,77.02477519069922,26.29342104121235,5 Rs
275°,181.6421264558272,67.77368393903562,9.054134153441206,5 Rs
285°,191.95943682649417,65.16502306520236,15.970166368653107,5 Rs
295°,202.36284658084614,68.54931968103485,10.351401484272012,5 Rs
305°,179.06159573698716,59.99721784201861,19.28523754335146,5 Rs
315°,161.61396743197128,60.53537432263931,17.50895078333766,5 Rs
325°,171.5194168779596,65.10127006723854,8.081331486759753,5 Rs
335°,207.1817907331166,76.31008833321043,14.372701870335485,5 Rs
345°,201.17306895136363,69.46485450223035,20.266859559383978,5 Rs
355°,200.1818664001343,67.28509252085509,10.325281305480685,5 Rs
5°,216.47258925377605,66.49406389875509,15.83147090452272,10 Rs
15°,219.49874871915657,70.50043301406653,12.967035751144959,10 Rs
25°,210.58044389047438,65.12545624265276,26.445047537127767,10 Rs
35°,277.5030723862356,86.97827181683618,42.41885984446766,10 Rs
45°,258.5748904470919,81.79305236591635,31.518121957564166,10 Rs
55°,201.07863415435787,65.1161048913047,22.44027847770684,10 Rs
65°,201.67153698165984,65.49690138858945,8.757718560130566,10 Rs
75°,220.38706901311866,69.39838267976054,12.591406662135249,10 Rs
85°,219.9964172215353,70.0347026815906,11.56567438682783,10 Rs
95°,206.5105505683449,66.66796169123842,9.028869623351536,10 Rs
105°,274.8099831588599,84.08212964505655,37.17679843942512,10 Rs
115°,223.1298363143096,72.4943048916238,7.328935496900937,10 Rs
125°,211.00066459081023,67.66700954021537,15.13615267115639,10 Rs
135°,216.22350096031303,74.25406252080275,11.52685173365765,10 Rs
145°,211.96920027335796,67.70584809951781,5.1363773982618,10 Rs
155°,204.20743978983103,66.33129569931613,10.967177675881413,10 Rs
165°,218.8605066892643,70.52618236382268,15.660653142104547,10 Rs
175°,209.7466292147136,68.33125028236226,12.810659132742213,10 Rs
185°,208.78195680137543,69.69372385707891,2.6097758362856176,10 Rs
195°,243.02122434035505,77.87431565830923,15.228489753990372,10 Rs
205°,225.31578196221668,72.17225077383124,12.612913235034728,10 Rs
215°,200.14039031742968,67.866307762973,17.92011286960554,10 Rs
225°,190.59147989969048,63.680365468273244,15.093634998174686,10 Rs
235°,210.7750452506195,67.52368744859452,4.886888770523888,10 Rs
245°,201.9792547290428,65.55502258024389,7.4606107745960175,10 Rs
255°,232.2128914887027,74.28149364313573,8.983951948081137,10 Rs
265°,251.28534044600434,77.02477519069922,11.38832225471764,10 Rs
275°,212.64847757529844,67.77368393903562,10.573989568713104,10 Rs
285°,193.97158725809211,65.16502306520236,10.05812176083428,10 Rs
295°,218.28599836459537,68.54931968103485,16.05473793437568,10 Rs
305°,181.35058842979223,59.99721784201861,26.876377043570727,10 Rs
315°,178.21197848527885,60.53537432263931,11.227140057753157,10 Rs
325°,200.05906027283717,65.10127006723854,22.04625903278298,10 Rs
335°,247.00612167607704,76.31008833321043,15.224367416002309,10 Rs
345°,205.76893653427982,69.46485450223035,34.651456463611765,10 Rs
355°,198.98976204324043,67.28509252085509,11.88555708484511,10 Rs
5°,218.1481413539589,66.49406389875509,10.882493307855045,15 Rs
15°,217.85113211942772,70.50043301406653,20.38846427683341,15 Rs
25°,221.2725436376522,65.12545624265276,8.302948235314725,15 Rs
35°,270.52626132176437,86.97827181683618,28.715801240464387,15 Rs
45°,259.442909110362,81.79305236591635,13.753623377686363,15 Rs
